DOC_ID,TITLE,CATEGORY,AUDIENCE,CONTENT
1,About Acme Solutions,Company Info,All,"Acme Solutions Inc is a software consultancy founded in 2014, headquartered in Singapore with delivery offices in Bangkok, Ho Chi Minh City, Jakarta, and Manila. We build data platforms, cloud applications, and AI products for clients across Southeast Asia. Our ~50 person team is organized into three business units: Technology, Operations, and Go-to-Market."
2,Mission and Values,Company Info,All,"Our mission is to help Southeast Asian enterprises modernize with data and AI. Our values are: craft (we sweat the details), candor (we say the hard thing kindly), and customer outcomes over output."
3,Office Locations and Hours,Company Info,All,"Standard hours are 9:00–18:00 local time, Monday to Friday, with flexible start times. The Singapore HQ is at Raffles Place; regional offices are in central business districts. All offices are hybrid-friendly with hot-desking."
4,Remote and Hybrid Work Policy,Company Info,All,Employees may work remotely up to three days per week. Fully remote arrangements are possible for some roles with manager approval. We expect overlap of at least four hours with your team's core hours.
5,Health Insurance,Benefits,All,"All full-time employees receive comprehensive medical, dental, and vision coverage from their first day. The company pays 100% of the employee premium and 50% for dependents. Our provider is regional and offers cashless hospitalization across all office countries."
6,Paid Time Off (PTO),Benefits,All,"Full-time employees receive 20 days of annual leave, 14 days of sick leave, and 5 days of personal leave per year. Annual leave accrues monthly and up to 10 unused days may be carried into the next year. Public holidays follow each office's local calendar."
7,Parental Leave,Benefits,All,Primary caregivers receive 16 weeks of paid parental leave; secondary caregivers receive 4 weeks. Leave can be taken flexibly within the first 12 months. A phased return-to-work option at 60% schedule is available for the first month back.
8,Retirement and Equity,Benefits,All,We contribute to the statutory retirement scheme in each country and match voluntary contributions up to 5% of base salary. Employees at senior levels are eligible for stock options that vest over four years with a one-year cliff.
9,Learning and Development Budget,Benefits,All,"Every employee has an annual training budget of USD 1,500 for courses, certifications, and conferences. Snowflake, AWS, and data-engineering certifications are pre-approved. Submit reimbursement through the People portal with a receipt."
10,Wellness and Mental Health,Benefits,All,"We provide an Employee Assistance Program with free, confidential counseling sessions, a monthly wellness stipend of USD 50, and two company-wide recharge days per quarter where the office closes."
11,Performance Review Cycle,Policies,All,"We run formal performance reviews twice a year (H1 and H2). Reviews combine manager feedback, peer feedback, and self-assessment, and feed into promotion and compensation decisions. Ratings range from 1 to 5; written feedback drives the sentiment analysis on the People dashboard."
12,Promotion Guidelines,Policies,Internal,Promotions are considered at each review cycle. Candidates should demonstrate sustained performance at the next level for at least one cycle. Managers submit a promotion packet with evidence; a calibration committee reviews to ensure consistency across teams.
13,Compensation Philosophy,Policies,Internal,"We benchmark salaries to the 60th percentile of the regional software market and review annually. Compensation has three components: base salary, an annual performance bonus, and equity for eligible roles."
14,Travel and Expense Policy,Policies,All,Book travel through the company portal. Economy class for flights under five hours; premium economy is allowed beyond that. Daily meal allowance is USD 50. Submit expenses within 30 days with receipts.
15,"Diversity, Equity, and Inclusion",Policies,All,"We are committed to a workplace free of discrimination and harassment. Hiring panels are diverse by design, pay is reviewed for equity each cycle, and we sponsor employee resource groups for women in tech and early-career professionals."
16,Code of Conduct,Policies,All,"Treat colleagues, clients, and partners with respect. Protect client data and confidential information. Disclose conflicts of interest. Violations can be reported confidentially to People & HR or via the anonymous ethics line."
17,Onboarding First Week,Company Info,Internal,"New hires complete IT setup, security training, and benefits enrollment in week one, meet their buddy and team, and ship a small first task by the end of week two. Your manager schedules a 30-day and 90-day check-in."
18,Quarterly All-Hands,Events - Internal,Internal,"The company all-hands is held on the first Thursday of each quarter at 15:00 SGT, streamed to all offices. Leadership shares results, roadmap, and recognitions, followed by an open Q&A. The next all-hands covers H1 results and the H2 plan."
19,Engineering Tech Talks,Events - Internal,Internal,"Tech talks run every other Friday over lunch. Anyone can present a demo, a postmortem, or a new tool. Recent topics included Cortex Search, Streamlit-in-Snowflake, and dbt testing. Sign up in the #tech-talks channel."
20,Annual Company Retreat,Events - Internal,Internal,"Every November the whole company gathers for a three-day retreat that rotates between office cities. The retreat blends strategy workshops, team building, and downtime. Travel and accommodation are fully covered."
21,Client Appreciation Events,Events - External,External,"We host quarterly client roundtables on data and AI trends, plus an annual customer summit. These are invitation-only events for client stakeholders and partners."
22,Conference Sponsorships,Events - External,External,Acme sponsors regional data and cloud conferences and runs a booth at the annual Snowflake and AWS summits. Employees presenting at conferences can apply for speaker support.
23,IT Support and Equipment,Company Info,Internal,Every employee receives a laptop and a one-time USD 300 home-office stipend. Reach IT support in the #it-help channel or via the service desk. Replacement cycles are every three years.
24,Referral Program,Policies,Internal,"Refer a candidate through the People portal. If your referral is hired and passes probation, you receive a referral bonus that varies by role seniority. Referrals are a top source of our best hires."
